countryId,yearId,deathCauseId,count
1,41,1,3169
1,41,2,25633
1,41,3,1045
1,41,4,7077
1,41,5,356
1,41,6,3185
1,41,7,3702
1,41,8,4794
1,41,9,16135
1,41,10,19546
1,41,11,351
1,41,12,2319
1,41,13,34372
1,41,14,3679
1,41,15,2637
1,41,16,5174
1,41,17,11449
1,41,18,37231
1,41,19,9518
1,41,20,2798
1,41,21,4825
1,41,22,174
1,41,23,389
1,41,24,2016
1,41,25,7686
1,41,26,107
1,41,27,2216
1,41,28,564
2,41,1,1017
2,41,2,4280
2,41,3,1561
2,41,4,741
2,41,5,289
2,41,6,344
2,41,7,53
2,41,8,902
2,41,9,731
2,41,10,840
2,41,11,47
2,41,12,309
2,41,13,1978
2,41,14,186
2,41,15,117
2,41,16,2752
2,41,17,868
2,41,18,2965
2,41,19,1417
2,41,20,31
2,41,21,67
2,41,22,64
2,41,23,44
2,41,24,29
2,41,25,390
2,41,26,2
2,41,27,171
2,41,28,4
3,41,1,11189
3,41,2,32361
3,41,3,1159
3,41,4,8051
3,41,5,496
3,41,6,2847
3,41,7,1851
3,41,8,5060
3,41,9,14803
3,41,10,6791
3,41,11,516
3,41,12,3968
3,41,13,3086
3,41,14,2513
3,41,15,3805
3,41,16,13780
3,41,17,11690
3,41,18,14223
3,41,19,14353
3,41,20,1233
3,41,21,822
3,41,22,296
3,41,23,742
3,41,24,238
3,41,25,1622
3,41,26,125
3,41,27,1464
3,41,28,284
4,41,1,4
4,41,2,38
4,41,3,2
4,41,4,7
4,41,5,3
4,41,6,4
4,41,7,2
4,41,8,8
4,41,9,9
4,41,10,5
4,41,11,1
4,41,12,0
4,41,13,11
4,41,14,4
4,41,15,4
4,41,16,34
4,41,17,43
4,41,18,15
4,41,19,44
4,41,20,1
4,41,21,1
4,41,22,1
4,41,23,1
4,41,24,0
4,41,25,0
4,41,26,0
4,41,27,0
4,41,28,0
5,41,1,10
5,41,2,39
5,41,3,3
5,41,4,9
5,41,5,22
5,41,6,2
5,41,7,0
5,41,8,5
5,41,9,1
5,41,10,0
5,41,11,3
5,41,12,1
5,41,13,0
5,41,14,1
5,41,15,4
5,41,16,60
5,41,17,14
5,41,18,10
5,41,19,22
5,41,20,0
5,41,21,0
5,41,22,2
5,41,23,3
5,41,24,0
5,41,25,0
5,41,26,0
5,41,27,0
5,41,28,0
6,41,1,1359
6,41,2,7764
6,41,3,499
6,41,4,904
6,41,5,3177
6,41,6,1006
6,41,7,31350
6,41,8,1549
6,41,9,16517
6,41,10,42373
6,41,11,876
6,41,12,419
6,41,13,19242
6,41,14,854
6,41,15,249
6,41,16,4507
6,41,17,3930
6,41,18,20506
6,41,19,1158
6,41,20,22756
6,41,21,16208
6,41,22,56
6,41,23,292
6,41,24,3459
6,41,25,10158
6,41,26,488
6,41,27,6965
6,41,28,368
7,41,1,23
7,41,2,97
7,41,3,9
7,41,4,23
7,41,5,11
7,41,6,5
7,41,7,2
7,41,8,6
7,41,9,9
7,41,10,4
7,41,11,9
7,41,12,5
7,41,13,3
7,41,14,8
7,41,15,12
7,41,16,24
7,41,17,83
7,41,18,26
7,41,19,39
7,41,20,1
7,41,21,3
7,41,22,1
7,41,23,1
7,41,24,0
7,41,25,0
7,41,26,0
7,41,27,0
7,41,28,0
8,41,1,11615
8,41,2,42440
8,41,3,6717
8,41,4,12837
8,41,5,18840
8,41,6,4172
8,41,7,827
8,41,8,7223
8,41,9,7612
8,41,10,2470
8,41,11,2353
8,41,12,5851
8,41,13,3964
8,41,14,4459
8,41,15,778
8,41,16,46415
8,41,17,23040
8,41,18,15552
8,41,19,22271
8,41,20,487
8,41,21,827
8,41,22,1605
8,41,23,1161
8,41,24,19
8,41,25,137
8,41,26,30
8,41,27,334
8,41,28,61
9,41,1,2247
9,41,2,5840
9,41,3,1182
9,41,4,1877
9,41,5,470
9,41,6,500
9,41,7,182
9,41,8,1065
9,41,9,1090
9,41,10,692
9,41,11,162
9,41,12,973
9,41,13,941
9,41,14,86
9,41,15,328
9,41,16,4243
9,41,17,1945
9,41,18,3164
9,41,19,2157
9,41,20,190
9,41,21,106
9,41,22,21
9,41,23,93
9,41,24,1
9,41,25,110
9,41,26,20
9,41,27,210
9,41,28,5
10,41,1,2415
10,41,2,29057
10,41,3,1189
10,41,4,5443
10,41,5,6051
10,41,6,2689
10,41,7,8
10,41,8,2068
10,41,9,747
10,41,10,78
10,41,11,710
10,41,12,1128
10,41,13,143
10,41,14,1970
10,41,15,3350
10,41,16,24759
10,41,17,9272
10,41,18,2555
10,41,19,12439
10,41,20,4
10,41,21,43
10,41,22,1164
10,41,23,669
10,41,24,0
10,41,25,3
10,41,26,0
10,41,27,7
10,41,28,2
11,41,1,5382
11,41,2,20645
11,41,3,2409
11,41,4,3414
11,41,5,5354
11,41,6,1117
11,41,7,1
11,41,8,1202
11,41,9,255
11,41,10,14
11,41,11,485
11,41,12,844
11,41,13,52
11,41,14,1413
11,41,15,2240
11,41,16,12730
11,41,17,6000
