7480464,1,1
7571542,1,2
7667534,1,3
7764549,1,4
7864289,1,5
7971933,1,6
8087730,1,7
8210207,1,8
8333827,1,9
8468220,1,10
8622473,1,11
8790140,1,12
8969055,1,13
9157463,1,14
9355510,1,15
9565154,1,16
9783153,1,17
10010037,1,18
10247782,1,19
10494491,1,20
10752973,1,21
11015853,1,22
11286753,1,23
11575308,1,24
11869881,1,25
12157390,1,26
12425276,1,27
12687308,1,28
12938864,1,29
12986378,1,30
12486640,1,31
11155196,1,32
10088290,1,33
9951447,1,34
10243689,1,35
10512220,1,36
10448447,1,37
10322767,1,38
10383459,1,39
10673172,1,40
10694804,1,41
10745168,1,42
12057436,1,43
14003764,1,44
15455560,1,45
16418911,1,46
17106600,1,47
17788818,1,48
18493135,1,49
19262853,1,50
19542986,1,51
19688633,1,52
21000258,1,53
22645136,1,54
23553555,1,55
24411195,1,56
25442946,1,57
25903306,1,58
26427203,1,59
27385311,1,60
28189673,1,61
29249155,1,62
30466484,1,63
31541217,1,64
32716215,1,65
33753499,1,66
34636211,1,67
35643419,1,68
36686787,1,69
37769495,1,70
38972236,1,71
40099460,1,72
1252587,2,1
1289175,2,2
1326957,2,3
1366747,2,4
1409011,2,5
1453732,2,6
1500625,2,7
1549575,2,8
1600986,2,9
1655022,2,10
1711189,2,11
1769076,2,12
1828234,2,13
1888302,2,14
1949020,2,15
2009793,2,16
2070694,2,17
2132447,2,18
2195474,2,19
2259797,2,20
2324733,2,21
2389820,2,22
2455181,2,23
2520442,2,24
2585457,2,25
2650128,2,26
2713564,2,27
2774798,2,28
2833317,2,29
2888764,2,30
2941650,2,31
2992391,2,32
3041188,2,33
3087904,2,34
3131731,2,35
3171727,2,36
3207129,2,37
3237677,2,38
3263019,2,39
3282187,2,40
3295073,2,41
3302087,2,42
3303738,2,43
3300715,2,44
3294001,2,45
3284370,2,46
3271336,2,47
3253721,2,48
3232185,2,49
3208265,2,50
3182027,2,51
3153615,2,52
3123554,2,53
3092993,2,54
3062629,2,55
3032636,2,56
3003391,2,57
2976089,2,58
2951690,2,59
2930553,2,60
2913402,2,61
2900660,2,62
2892191,2,63
2887019,2,64
2884100,2,65
2882482,2,66
2881064,2,67
2879361,2,68
2877019,2,69
2873883,2,70
2866850,2,71
2854710,2,72
9019866,3,1
9271741,3,2
9521703,3,3
9771686,3,4
10011548,3,5
10242297,3,6
10473167,3,7
10703259,3,8
10933788,3,9
11164451,3,10
11394309,3,11
11598615,3,12
11778265,3,13
11969449,3,14
12179097,3,15
12381262,3,16
12613398,3,17
12897121,3,18
13190979,3,19
13491022,3,20
13795915,3,21
14110269,3,22
14439750,3,23
14786473,3,24
15153601,3,25
15724698,3,26
16500516,3,27
17134195,3,28
17632645,3,29
18166981,3,30
18739378,3,31
19351355,3,32
20000097,3,33
20682110,3,34
21393533,3,35
22132910,3,36
22882560,3,37
23586097,3,38
24243025,3,39
24889516,3,40
25518073,3,41
26133907,3,42
26748302,3,43
27354326,3,44
27937006,3,45
28478024,3,46
28984639,3,47
29476031,3,48
29924665,3,49
30346087,3,50
30774624,3,51
31200985,3,52
31624700,3,53
32055882,3,54
32510184,3,55
32956689,3,56
33435082,3,57
33983835,3,58
34569590,3,59
35196041,3,60
35856347,3,61
36543547,3,62
37260567,3,63
38000627,3,64
38760168,3,65
39543149,3,66
40339329,3,67
41136547,3,68
41927007,3,69
42705373,3,70
43451669,3,71
44177962,3,72
19057,4,1
19447,4,2
19587,4,3
19695,4,4
19783,4,5
